Taxon,Replicate,model,converged,k,AIC,BIC,rss,sigma,r,K,O2_0,extra1,extra2,at_bounds,R_C_fg_cell_h,late_mean_sd
Aeromonas_B,R5,M2g,TRUE,4,-877.4129091426607,-865.2588251484442,1.2697762576291218e-4,0.001259849325132336,0.03579429457179523,5.708690509767063e-4,1.0014631973715191,18731.394851823014,NA,,137.27666501178837,0.08654329233981695
Aeromonas_B,R5,M3o,TRUE,5,-876.3210990207087,-861.7361982276489,1.2561216589697063e-4,0.001260962892561613,0.0356911707305763,6.370095859148566e-4,0.9998949032789521,1e-6,2.9048944750434695,Km@lower,137.3405479829238,0.10066006197473423
Aeromonas_B,R5,M3g,TRUE,5,-876.3401922237535,-861.7552914306937,1.255836174917585e-4,0.0012608195922492143,0.03570969516694726,6.319275878890479e-4,0.9999965467268807,50815.87949118307,2.7061039721964257,,137.24567787601774,0.09980529582674333
Arthrobacter,R1,M0,TRUE,3,-1004.063999757945,-993.7241298432627,1.8780746190270566e-4,0.0014060301033788102,0.02511080781836032,0.0016102704156605837,1.0018617114075408,NA,NA,,165.34015946125254,-0.14861324236559287
Arthrobacter,R1,M1,TRUE,4,-1002.085519805304,-989.1606824119511,1.8776622535421553e-4,0.0014133340141959168,0.025109117782619077,0.0016157000369879711,1.001663815948272,0.12927991691972615,NA,,165.30843141785292,-0.14798840004541722
Arthrobacter,R1,M2o,TRUE,4,-1008.8098719720372,-995.8850345786843,1.7531456392291e-4,0.001365667804545228,0.02557783358745149,0.001628012517371801,1.0013698082175309,0.028033607488211643,NA,,159.7995208155841,-0.038686120328874994
Arthrobacter,R1,M2g,TRUE,4,-1009.7726521664146,-996.8478147730617,1.73600655956832e-4,0.0013589758971013681,0.026096060657535062,0.001569270303623047,1.001191070747284,130.27690819956376,NA,,154.3725173613779,-0.025340456718978437
Arthrobacter,R1,M3o,TRUE,5,-1006.8097528651496,-991.2999479931261,1.753147769962239e-4,0.0013729913069614296,0.025579829337755076,0.0016280880711718967,1.0013677054672094,0.028156004883712286,0,tlag@lower,159.77625670940384,-0.03839428328857517
Arthrobacter,R1,M3g,TRUE,5,-1007.7667890345982,-992.2569841625748,1.73611042425991e-4,0.0013663035542770174,0.026119468417516674,0.0015684118221998358,1.0011792723741084,127.24983142958867,3.5408633908340847e-4,,154.11888116429049,-0.02162436957347235
Arthrobacter,R2,M0,TRUE,3,-1110.778214774307,-1100.0868994364594,1.8029441614003327e-4,0.00131666250618472,0.02587640886188693,0.00136451060286592,1.0009458266947018,NA,NA,,162.39246446460447,-0.0882558695412104
Arthrobacter,R2,M1,TRUE,4,-1108.7781530251823,-1095.4140088528727,1.8029452018700115e-4,0.0013230390148537775,0.025876013944852352,0.0013645491518254585,1.0009475023871488,0,NA,tlag@lower,162.39705223440916,-0.0882062312215802
Arthrobacter,R2,M2o,TRUE,4,-1109.2025945591183,-1095.8384503868087,1.7958075470376873e-4,0.0013204175373161793,0.02594891485654598,0.001364556714502324,1.0008461564514934,0.0032233716818432143,NA,,161.41358265841217,-0.0632102974241792
Arthrobacter,R2,M2g,TRUE,4,-1108.9872367544083,-1095.6230925820987,1.799425590283022e-4,0.001321747001584308,0.02598923134762358,0.0013596060115487704,1.000848766718142,1407.504848233819,NA,,160.96856600333126,-0.06834596823953096
Arthrobacter,R2,M3o,TRUE,5,-1107.2023279192526,-1091.1653549124812,1.7958120221262842e-4,0.0013268760385553866,0.02594796908360024,0.001364632246243947,1.0008493751722023,0.0032132402391748124,1.1737167723150201e-4,,161.42507398895887,-0.06283888721157813
Arthrobacter,R2,M3g,TRUE,5,-1106.9835588158053,-1090.9465858090339,1.7994874434660796e-4,0.0013282331783038461,0.025998439927738756,0.0013590603049982966,1.0008320268923565,1330.9684720478517,0,tlag@lower,160.8550961023902,-0.06868066199114647
