arm,r_true,K_true,R_true,noise_sd,dt,duration,r_est,K_est,O2_0_est,R_est,bias_log_r,bias_log_K,bias_log_R
none,0.01,0.005,5e-12,0.005,1,60,0.011231912550955793,0.004845399930655148,0.9988648323046042,4.845399930655148e-12,0.11617396855359817,-0.03140812547116183,0.1213490308473565
none,0.01,0.005,5e-12,0.005,1,60,0.011576121888657675,0.004798242096985166,0.9985791903131319,4.798242096985166e-12,0.1463594257076294,-0.041188291393521474,0.15425082280003022
none,0.01,0.005,5e-12,0.005,1,60,0.008634527204794818,0.005241500230053325,1.0039763257063887,5.241500230053325e-12,-0.14681613624765813,0.04716984836713117,-0.12214877823831144
none,0.01,0.005,5e-12,0.005,1,60,0.00926794931499596,0.005080237428532992,1.000099146855376,5.080237428532992e-12,-0.0760229552567423,0.015920085964303818,-0.07485419897619727
none,0.01,0.005,5e-12,0.005,1,60,0.01134276728012258,0.00480627458485322,0.9985330387896971,4.80627458485322e-12,0.12599520376501927,-0.03951564299134095,0.12698749974385892
none,0.01,0.005,5e-12,0.005,1,60,0.008945114767877852,0.005150835767994738,1.002018530294798,5.150835767994738e-12,-0.11147754572127827,0.029721074122272532,-0.10108469466087383
none,0.01,0.005,5e-12,0.005,1,60,0.010266402497166599,0.004973836854908074,1.0001776400703986,4.973836854908074e-12,0.02629157719086957,-0.005246367166986738,0.027787542481671472
none,0.01,0.005,5e-12,0.005,1,60,0.009881601090024587,0.005021812829410288,1.0001030089793108,5.021812829410288e-12,-0.01191054071732974,0.004353077477371241,-0.010328387359579996
none,0.01,0.005,5e-12,0.005,1,60,0.010344345022144801,0.004943251124263827,0.9987219438546246,4.943251124263827e-12,0.0338549027283002,-0.011414675381181471,0.031284107364773855
none,0.01,0.005,5e-12,0.005,1,60,0.009383226499452241,0.005096634205143904,1.0004420989146638,5.096634205143904e-12,-0.06366141263481571,0.019142449651159906,-0.057337464416762185
none,0.01,0.005,5e-12,0.005,1,60,0.009652255629539615,0.0050281942968248726,1.0002915496764766,5.028194296824873e-12,-0.03539346096327978,0.005623020511654553,-0.0374972814254332
none,0.01,0.005,5e-12,0.005,1,60,0.010375935097406962,0.0049128565825446195,0.9982230073325282,4.912856582544619e-12,0.03690409893181401,-0.017582351095482694,0.02903360098298057
none,0.01,0.005,5e-12,0.005,1,60,0.009538714940637079,0.005045120296893779,0.999388152636108,5.045120296893779e-12,-0.04722631884631189,0.008983585862963626,-0.04821576149803862
