r_true,R_true,noise_sd,dt,duration,n,sd_log_r,sd_log_K,cov_logr_logK,corr_logr_logK,var_logsum,var_logdif,ridge_ratio
0.01,5e-12,0.01,5,60,50,0.3839526054479759,0.1055097959954556,-0.03859659801165003,-0.952749269320007,0.08135872425799155,0.2357451163045917,2.8976009451307903
0.01,5e-12,0.01,5,120,50,0.1414246252489839,0.06328307040213464,-0.00876933446512278,-0.9798374976763967,0.006467002696091521,0.041544340556582626,6.424048745439814
0.01,5e-12,0.01,5,180,50,0.11115720644953818,0.05196776985278058,-0.005555155407917149,-0.9616665484347354,0.003946262833302549,0.026166884464971125,6.630801234055811
0.01,8e-12,0.002,1,60,50,0.02588496478877574,0.007996043874722417,-2.0345850847897407e-4,-0.9829990756125687,3.270511028046999e-4,0.0011408851367205937,3.4884002131063863
0.01,8e-12,0.002,1,120,50,0.019446016573988142,0.006496636843670706,-1.2312534750960385e-4,-0.9746040840163364,1.7410315585515454e-4,6.66604545893569e-4,3.8287907109975188
0.01,8e-12,0.002,1,180,50,0.020063174512581945,0.006049311366455136,-1.1769824544655689e-4,-0.9697602959808264,2.0372864863752637e-4,6.745216304237552e-4,3.3108825633250176
0.01,8e-12,0.002,3,60,50,0.03360106310799697,0.010570959717737978,-3.444575323176012e-4,-0.9697688942114017,5.51861566706432e-4,0.0019296916959768364,3.4966952083535006
0.01,8e-12,0.002,3,120,50,0.031714159501947004,0.009752338508853358,-3.001423887672627e-4,-0.9704325634617179,5.006112417716747e-4,0.001701180796840725,3.3982073411300293
0.01,8e-12,0.002,3,180,50,0.03096503518223832,0.009207689693002471,-2.783837782943355e-4,-0.9763862893777112,4.8684739673121537e-4,0.0016003825099085518,3.2872364536686853
0.01,8e-12,0.002,5,60,50,0.028303496629893406,0.00987375696405051,-2.6662883258001907e-4,-0.954079547830464,3.6532133290348266e-4,0.0014318366632235621,3.919389683169286
0.01,8e-12,0.002,5,120,50,0.03013186276224458,0.011080068719823461,-3.246671489244018e-4,-0.9724558932675997,3.813627785099483e-4,0.001680031374207556,4.4053365165099105
0.01,8e-12,0.002,5,180,50,0.033566965974580094,0.011126236779077774,-3.6609513747159827e-4,-0.9802426040585922,5.183440746595166e-4,0.0019827246245459167,3.8251129345855914
0.01,8e-12,0.005,1,60,50,0.049264870477851976,0.013901030907573367,-6.555482717930873e-4,-0.9572388636261455,0.0013091695799066743,0.003931362667079015,3.0029437953784925
0.01,8e-12,0.005,1,120,50,0.050158258678436596,0.015651710507292145,-7.64211187359777e-4,-0.9734398779127499,0.0012324045807374873,0.004289249330176591,3.4803906097215633
0.01,8e-12,0.005,1,180,50,0.04685916834799468,0.014962040683339268,-6.691560930382623e-4,-0.9544254886872514,0.0010813321335990955,0.003757956505752131,3.475302720584271
0.01,8e-12,0.005,3,60,50,0.07382133725908777,0.02320395405273934,-0.0016561154623125928,-0.9668224070657905,0.0026757823937764436,0.009300244243026804,3.4757102313917914
0.01,8e-12,0.005,3,120,50,0.07315556535211916,0.023208403124045547,-0.0016323214515848428,-0.9614197905051857,0.0026257238143867086,0.009155009620726072,3.4866613048045996
0.01,8e-12,0.005,3,180,50,0.09295438298029521,0.028676729778415032,-0.0026003326716088292,-0.9755048125112903,0.00426220680281399,0.01466353748924929,3.440362743442703
0.01,8e-12,0.005,5,60,50,0.0918689702994195,0.032217216077842774,-0.002888940577386232,-0.9760717657619256,0.00369997556090955,0.015255737870454497,4.123199631811687
0.01,8e-12,0.005,5,120,50,0.08851636925727029,0.02939514135714284,-0.0025026970028290403,-0.9618539408366514,0.003693827956237752,0.013704615967553908,3.710139218696144
0.01,8e-12,0.005,5,180,50,0.08419112692473062,0.0287620340934611,-0.002350768320579456,-0.9707869061110547,0.0032138638168906076,0.012616937099208428,3.9257846063356947
0.01,8e-12,0.01,1,60,50,0.11140422959303023,0.03448138917803003,-0.0037441196958971916,-0.9746827733235638,0.006111629179068975,0.021088107962657743,3.4504887886326627
0.01,8e-12,0.01,1,120,50,0.10201807527948102,0.030635255318178678,-0.0030440082325563726,-0.9739736169258606,0.00525819008702711,0.0174342230172526,3.3156319434449375
0.01,8e-12,0.01,1,180,50,0.09351562359177908,0.02870448737591158,-0.0025877096493343776,-0.964010081450689,0.00439370015260443,0.01474453874994193,3.355836365210741
0.01,8e-12,0.01,3,60,50,0.13197409150137068,0.044236797288643596,-0.005504923744025954,-0.9429289060319382,0.0083642075739168,0.030383902550020617,3.63260981766769
0.01,8e-12,0.01,3,120,50,0.15116464503308963,0.04809811633834466,-0.007030491553856844,-0.9669575167211817,0.011103195595563215,0.039225161810990616,3.5327813036694415
0.01,8e-12,0.01,3,180,50,0.15769368236858283,0.0462346028395237,-0.006955274676441388,-0.9539659193820927,0.013094386605809225,0.04091548531157473,3.124658416105027
0.01,8e-12,0.01,5,60,50,0.15549009063639674,0.0520421439744492,-0.007831639228456111,-0.9678204099846963,0.011222274578659899,0.042548831492484396,3.7914623452000176
0.01,8e-12,0.01,5,120,50,0.17468614264767396,0.05977766234882031,-0.010111198130635022,-0.9682895344919912,0.01386622108774302,0.0543110136102831,3.9167854937991047
0.01,8e-12,0.01,5,180,50,0.2047629381444826,0.06107388023391093,-0.012209160801618676,-0.9762902406441929,0.021239558081150026,0.07007620128762466,3.299324826810632
0.02,2e-12,0.002,1,60,50,0.024157204911090063,0.017296437672624367,-4.0903080512369873e-4,-0.9789323209152039,6.467569503197478e-5,0.0017007989155267704,26.29734268315043
0.02,2e-12,0.002,1,120,50,0.004877179265104941,0.005985426174388556,-2.8683750231357784e-5,-0.9825895361286534,2.2447036103096677e-6,1.1697970453574079e-4,52.113652777349465
