model,taxon_a,taxon_b,diff_logr,se,z,p,p_holm,resolved_raw,resolved_holm
within-curve only (AR(1)-corrected),Acinetobacter,Pseudomonas,-0.4628723596091837,0.002189765742008789,-211.37985252457472,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Acinetobacter,Serratia,-0.6009287969728594,0.002137604814910576,-281.1224941023528,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Acinetobacter,Yersinia,-1.0139047407858555,0.0019391393744742364,-522.863263018811,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_A,Aeromonas_B,-0.452316292734531,0.0025073548859392233,-180.3958008780632,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_A,Arthrobacter,-0.14451638453412619,0.002368302128965482,-61.02109302973671,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_A,Bacillus,-0.29020806444061087,0.0021157321461888344,-137.16673207588022,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_A,Burkholderia,-0.015344096848207478,0.002192497843657199,-6.998454704344309,2.58801000808682e-12,5.17602001617364e-12,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_A,Buttiauxella,-0.03016696265488239,0.0021641191003595383,-13.93960371675966,3.639553881743772e-44,2.1837323290462633e-43,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_A,Chromobacterium,-0.18676453129572623,0.0021651592315420263,-86.25902823909747,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_A,Chryseobacterium,0.26511459866791576,0.0022278700242651787,118.99913180768203,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_A,Flavobacterium_A,0.029420709891543773,0.002452119264740379,11.998074610232601,3.6365789039084234e-33,1.8182894519542116e-32,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_A,Flavobacterium_B,0.4570526074207084,0.0027707094607913895,164.95869158730264,0,0,TRUE,TRUE
within-curve only (AR(1)-corrected),Aeromonas_A,Herbaspirillum,-6.963157506700846e-4,0.002076952583057098,-0.33525837631072297,0.7374301894640058,0.7374301894640058,FALSE,FALSE
within-curve only (AR(1)-corrected),Aeromonas_A,Pseudomonas,-0.07395189309990124,0.002086162206893619,-35.4487742398606,3.0295944930787383e-275,5.453270087541729e-274,TRUE,TRUE
