Taxon,Replicate,n,sigma,rho_ar1,corr_vcov,corr_boot_iid,corr_boot_ar1,var_logsum_vcov,var_logdif_vcov,var_logsum_boot_iid,var_logdif_boot_iid,var_logsum_boot_ar1,var_logdif_boot_ar1,n_boot_ok_iid,n_boot_ok_ar1,ridge_ratio_vcov,ridge_ratio_boot_iid,ridge_ratio_boot_ar1
Chromobacterium,R1,88,0.00118627497747763,-0.04700740736916262,-0.9837177184772695,-0.9837682505883856,-0.9817920256976074,3.289859872967929e-6,8.325634229734995e-5,3.3951529302046413e-6,8.378700740895435e-5,2.9668887760724364e-6,7.418681534521155e-5,300,300,25.3069569866636,24.678419243961457,25.00491961259834
Chromobacterium,R2,98,0.00128156080050936,0.15667680373110604,-0.9856445893148077,-0.9858462903006279,-0.9844154235489666,5.094158006908321e-6,6.774148673929423e-5,5.74015205367288e-6,7.694202179519053e-5,6.875543137711488e-6,8.556834295008331e-5,300,300,13.297877028436933,13.404178334606762,12.445321225715496
Chromobacterium,R3,100,0.00135740154600098,0.04873143115331935,-0.9859732900478508,-0.9871824743910214,-0.9858858922972293,5.601357219331293e-6,6.795947157824296e-5,5.3029043967230535e-6,6.762181096717496e-5,6.291659298599291e-6,7.616903702410945e-5,300,300,12.132679441279441,12.751844255190056,12.106351188003288
Chromobacterium,R4,100,0.00132281006765155,-0.00383850615959337,-0.9843075971486732,-0.9824061808960606,-0.9874767959902065,2.2327106842300643e-6,4.5671429521202965e-5,2.1629906001246943e-6,4.2689861519824885e-5,2.3789529533771464e-6,4.9481671681454274e-5,300,300,20.455596797106946,19.736498862900216,20.79976891144922
Chromobacterium,R5,118,0.00145448474306138,0.02138000617552191,-0.9874368343399517,-0.9881886076773132,-0.9867991871222452,3.454182999992802e-6,2.925721533198005e-5,4.210157886350545e-6,3.477816348125874e-5,3.4632389768355866e-6,2.9637763525576956e-5,300,300,8.470082601889077,8.260536640207857,8.557816461357056
Chryseobacterium,R1,130,8.629491238345114e-4,-0.00360680887190505,-0.98257877947472,-0.9821086260391927,-0.9830622762439071,1.2974096946365616e-6,5.527892656573898e-5,1.3126519090310352e-6,5.284880050089964e-5,1.398921241207133e-6,6.078157314043212e-5,300,300,42.607147760849784,40.261092935073115,43.44888857930525
Chryseobacterium,R2,123,8.146955097550817e-4,-0.04058457941891771,-0.9829120708318585,-0.9830982915268458,-0.9827718421418066,1.6721220180970663e-6,6.078370000160657e-5,1.588378577433652e-6,6.028536347035759e-5,1.7274053287279882e-6,5.750849478443468e-5,300,300,36.35123474468721,37.95402703539406,33.29183592757717
Chryseobacterium,R3,119,8.637057928934123e-4,0.07521394790010477,-0.9824166971526794,-0.9796174832447451,-0.9860104712538243,1.3244232062056986e-6,6.061073340435271e-5,1.203465476582497e-6,5.465785607845047e-5,1.5363491699859722e-6,7.356861629304284e-5,300,300,45.76387148787179,45.41705361890678,47.88534906665428
Chryseobacterium,R4,140,6.827873133450511e-4,-0.01644121224251557,-0.983750305350091,-0.9855029003939311,-0.9837343855405154,1.2508325392993274e-6,3.2085207544094285e-5,1.2314537121576178e-6,3.1565761781158174e-5,1.2399879585889726e-6,3.104574897884448e-5,300,300,25.651081608467987,25.63292592285269,25.037137468796523
Chryseobacterium,R5,117,7.914587638023905e-4,-0.00455529052952145,-0.9812857889983982,-0.9826185221847268,-0.9808127541013767,6.678564502901623e-7,5.203507170381031e-5,6.306978738507141e-7,5.129422443885704e-5,6.866041743062817e-7,5.189621211366886e-5,300,300,77.91355714420776,81.3293124419163,75.58388669294472
Flavobacterium_A,R1,125,0.00148250569528121,-0.08393154036312057,-0.9839910301137392,-0.9802706156363421,-0.980966775578696,2.7572335592947623e-6,6.424135231937097e-5,2.3404056105648904e-6,5.4535568265109264e-5,2.2544955739948352e-6,5.47957611181991e-5,300,300,23.299205866260543,23.301759327070798,24.305109200593456
Flavobacterium_A,R2,104,0.00154430644441235,-0.00888746990315908,-0.9801368944744998,-0.9803684981591116,-0.9812320777731393,9.40211034338531e-7,9.372470693831138e-5,8.575999705162519e-7,8.650110783270212e-5,9.119457122599554e-7,9.61453675125585e-5,300,300,99.68475535308917,100.8641683845101,105.42882785675262
Flavobacterium_A,R3,108,0.00147686058357801,0.0690283158508122,-0.9858476584864743,-0.9880345916860352,-0.9884207053602113,4.306045509077493e-6,5.4219647946792206e-05,4.543613580868919e-6,6.020163249391587e-5,5.7771065823500276e-6,7.171503061646516e-5,300,300,12.591517630850113,13.24972544923218,12.4136589128485
Flavobacterium_A,R4,81,0.00123099945530499,0.08916263418079663,-0.9818197744251937,-0.9841126545628063,-0.977580211749731,2.859082291093774e-6,1.6856030696016649e-4,2.8076704233666685e-6,1.8060903805179222e-4,3.471594078580933e-6,1.889865833852691e-4,300,300,58.95608793256589,64.32700809492609,54.4379841385489
Flavobacterium_A,R5,111,0.00137189215676898,-0.06231374618078759,-0.9845934492814294,-0.9852039355091986,-0.9842017704331111,2.3364500162581303e-6,4.332468644141274e-5,2.238393393419938e-6,4.307022153740027e-5,2.1133294867555235e-6,3.9703150371282906e-5,300,300,18.54295454212115,19.241578206945682,18.787013866085278
Flavobacterium_B,R1,133,0.00144776288507518,-0.01800550656786687,-0.9833656149290436,-0.9803888626380466,-0.9841101459529821,1.072766070959702e-6,3.223764983509251e-5,9.132819820949925e-7,2.8920594674342776e-5,1.0435923658604461e-6,3.0764242485885726e-5,300,300,30.050959578030415,31.666665105996454,29.479175482967896
Flavobacterium_B,R2,106,0.00138699091770202,0.11985486650643389,-0.9797314378868284,-0.9792930956637262,-0.9802263609119575,8.73821615135583e-7,8.128419647553237e-5,9.11658787749613e-7,8.04126860332651e-5,1.088910205204867e-6,1.0537301206409905e-4,300,300,93.02149897370097,88.20480547525905,96.76923915344722
Flavobacterium_B,R3,129,0.00122409035235568,-0.10425444049734568,-0.9814776582504852,-0.9825717969438755,-0.9798631858872993,4.5104783212266845e-7,3.2653704340588716e-5,4.975274754770133e-7,3.783251009313308e-5,3.926965120736741e-7,2.61870555730949e-5,300,300,72.39521402179827,76.04104689265752,66.68522578622223
