Taxon,Replicate,r_per_minute,K,O2_ref,form,N0,R,R_C_fg_cell_h
Buttiauxella,R5,0.02164406271296873,0.0014995347819748,5.69,initial,1566180821.9682467,5.447872167604412e-12,122.69715470672527
Chromobacterium,R1,0.02522617126544078,0.00146207685325083,5.906666666666667,initial,950814232.5057291,9.082742262326762e-12,204.56181757511106
Chromobacterium,R2,0.02625342021813681,0.00117880589961358,6.243333333333333,initial,932493312.4188149,7.892472866638603e-12,177.75453141045614
Chromobacterium,R3,0.02637388049003547,0.00115978394314153,5.693333333333333,initial,765035578.3310199,8.631018961702989e-12,194.3880906600686
Chromobacterium,R4,0.02319349563680926,0.0016979271532427,5.916666666666667,initial,1113295632.70008,9.02372082934929e-12,203.23253493589783
Chromobacterium,R5,0.02492601488710632,0.00121599323744506,5.633333333333333,initial,899553865.2775161,7.614991722028661e-12,171.50509201816283
Chryseobacterium,R1,0.01546010521164195,8.384499700131765e-4,6.11,initial,2861009473.1483903,1.790602011234515e-12,40.32799691906574
Chryseobacterium,R2,0.01681179114807214,7.875711363987316e-4,5.953333333333333,initial,2546605406.168865,1.8411464482624587e-12,41.46636037892442
Chryseobacterium,R3,0.01668582715915156,9.312067517155902e-4,5.87,initial,2375524322.7450714,2.3010430077407026e-12,51.8241656965565
Chryseobacterium,R4,0.01577081633140894,6.788354020645641e-4,5.756666666666667,initial,2580422182.940917,1.5144146399968445e-12,34.10769593287474
Chryseobacterium,R5,0.0154155460716585,0.00107848665072903,5.933333333333334,initial,3489809831.4807277,1.8336302272409125e-12,41.29707980384511
Flavobacterium_A,R1,0.01802196080469134,0.0011986181924599,6.0633333333333335,initial,995038066.1369516,7.303862925060784e-12,164.49783910164086
Flavobacterium_A,R2,0.01567720728141338,0.00213836650630877,6.216666666666667,initial,1738085579.7434313,7.648364347426735e-12,172.25671137622822
Flavobacterium_A,R3,0.02416130472305527,0.00128073842831951,6.116666666666667,initial,817340017.5053518,9.584566869894767e-12,215.8639277598088
Flavobacterium_A,R4,0.02351547306940147,0.00150600350882712,5.203333333333333,initial,1217401258.3799582,6.436857366177765e-12,144.97111161665316
Flavobacterium_A,R5,0.02134249516371314,0.00149395526128402,6.166666666666667,initial,1067490439.4940914,8.630263813526593e-12,194.37108318820157
Flavobacterium_B,R1,0.01610033938702341,0.00162419639662112,6.1466666666666665,initial,370977998.9126626,2.6911013268960694e-11,606.0907188702173
Flavobacterium_B,R2,0.0148048700529281,0.00210437422267767,5.776666666666666,initial,413964483.09126836,2.9365486467723206e-11,661.3704443349397
Flavobacterium_B,R3,0.01418676802705085,0.0017838885985855,6.3,initial,574280619.56461,1.9569697789225588e-11,440.74937211023536
Flavobacterium_B,R4,0.01497899103177519,0.00188355084972967,6.526666666666666,initial,410818276.451416,2.992395725937509e-11,673.948341725772
Flavobacterium_B,R5,0.0079724812945485,0.00158874793200477,6.26,initial,608799729.3978351,1.6336344407030258e-11,367.9276817416846
Herbaspirillum,R1,0.01838774088062516,0.00104265515970884,5.883333333333333,initial,2778734502.0658565,2.207583290784513e-12,49.71926290195534
Herbaspirillum,R2,0.02254198431127584,8.540847119233447e-4,6.976666666666667,initial,2490355023.4350533,2.3926967376587777e-12,53.88839399216122
Herbaspirillum,R3,0.02231892948367655,7.838853468847181e-4,6.423333333333333,initial,2951651793.886516,1.70587766774693e-12,38.419832490733874
Herbaspirillum,R4,0.02169290408519785,8.99942686361268e-4,5.66,initial,2883291459.852627,1.7666183511899034e-12,39.78783614502518
Herbaspirillum,R5,0.01984617204888009,9.225470256429326e-4,6.0633333333333335,initial,3163157517.8911824,1.7683944288293099e-12,39.827837023568044
Pseudomonas,R1,0.02476961577599536,7.058706372483028e-4,6.373333333333333,initial,506123070.2453839,8.888646113710483e-12,200.19037778319256
Pseudomonas,R2,0.02125353060972634,0.00104179913355233,5.92,initial,1015224196.2183864,6.074964420275798e-12,136.82054688155372
Pseudomonas,R3,0.02530935956809623,0.00105711326126181,6.093333333333333,initial,842777920.2505443,7.642990302878827e-12,172.13567696958106
Pseudomonas,R4,0.01897503526471538,0.00161190660070288,6.193333333333333,initial,1385757476.1736615,7.204056302779855e-12,162.24999109823517
Pseudomonas,R5,0.02272200698265882,0.00175463182406578,5.886666666666667,initial,1272273315.8807025,8.118485660332024e-12,182.84479892414765
Serratia,R1,0.02082821024253651,0.00170691110656803,5.836666666666667,initial,1504213947.3785465,6.6231743004584414e-12,149.16734768949246
Serratia,R2,0.02748035207063554,7.793635591074545e-4,5.746666666666667,initial,480731839.22317237,9.316509165639678e-12,209.82672339864646
Serratia,R3,0.02555768003607791,0.00137708026726946,5.78,initial,895127586.8533094,8.89205523516265e-12,200.2671581277678
Serratia,R4,0.02752262081406668,0.0011740583615552501,5.85,initial,301602070.02991897,2.2772527437947897e-11,512.8836059576076
Serratia,R5,0.02845516277322296,7.613613820133461e-4,5.633333333333333,initial,543532278.1804774,7.89098021255763e-12,177.72091380654356
Yersinia,R1,0.04615722602419903,3.938695026567253e-4,6.19,initial,339129072.6080801,7.189157221748144e-12,161.91443350912613
Yersinia,R2,0.0381862786006876,3.4727316928298985e-4,6.13,initial,656069398.7199514,3.244755100387508e-12,73.07848023767926
Yersinia,R3,0.03873777039055091,4.6681106987881e-4,6.123333333333333,initial,505547412.6127772,5.6541477876128076e-12,127.34290095071711
Yersinia,R4,0.03673333494154014,5.23000616042634e-4,6.28,initial,230350327.06423378,1.4258472781902611e-11,321.12978920576086
