Taxon,Replicate,N_inoc_cells_per_L,delta_min,FC_Initial_CellCounts,FC_Initial_ODFC,FC_CellCounts_as_cells_per_L,FC_ODFC_as_cells_per_L,ratio_Ninoc_over_FC_CellCounts,ratio_Ninoc_over_FC_ODFC,FC_sources_agree
Chryseobacterium,R3,68583359,74.07,262,206,262000000,206000000,0.2617685458015267,0.33292892718446604,FALSE
Chryseobacterium,R4,81365159,72.07,262,261,262000000,261000000,0.3105540419847328,0.3117439042145594,FALSE
Chryseobacterium,R5,99511044,81.07,262,266,262000000,266000000,0.37981314503816793,0.3741016691729323,FALSE
Flavobacterium_A,R1,41430308,48.07,183,143,183000000,143000000,0.2263951256830601,0.28972243356643357,FALSE
Flavobacterium_A,R2,53998373,57.07,183,311,183000000,311000000,0.29507307650273223,0.17362820900321543,FALSE
Flavobacterium_A,R3,17999458,62.07,183,147,183000000,147000000,0.09835769398907104,0.12244529251700681,FALSE
Flavobacterium_A,R4,24438067,67.07,183,183,183000000,183000000,0.13354134972677595,0.13354134972677595,TRUE
Flavobacterium_A,R5,23169346,71.07,183,130,183000000,130000000,0.12660844808743169,0.17822573846153847,FALSE
Flavobacterium_B,R1,17420468,46.03,99,96,99000000,96000000,0.17596432323232322,0.18146320833333332,FALSE
Flavobacterium_B,R2,18141567,55.05,99,91,99000000,91000000,0.1832481515151515,0.19935787912087913,FALSE
Flavobacterium_B,R3,24605191,59.05,99,109,99000000,109000000,0.24853728282828283,0.22573569724770642,FALSE
Flavobacterium_B,R4,16661901,59.05,99,117,99000000,117000000,0.16830203030303031,0.14240941025641027,FALSE
Flavobacterium_B,R5,33140469,74.05,99,84,99000000,84000000,0.33475221212121214,0.39452939285714284,FALSE
Herbaspirillum,R1,97382398,56.05,332,393,332000000,393000000,0.29332047590361443,0.2477923613231552,FALSE
Herbaspirillum,R2,52935038,68.05,332,284,332000000,284000000,0.15944288554216868,0.18639097887323944,FALSE
Herbaspirillum,R3,48198999,80.05,332,314,332000000,314000000,0.1451777078313253,0.15349999681528662,FALSE
Herbaspirillum,R4,71575803,63.05,332,311,332000000,311000000,0.21558976807228916,0.2301472765273312,FALSE
Herbaspirillum,R5,89872260,63.05,332,356,332000000,356000000,0.27069957831325303,0.25245016853932584,FALSE
Pseudomonas,R1,13114113,54.07,141,129,141000000,129000000,0.09300789361702128,0.10165979069767442,FALSE
Pseudomonas,R2,28011250,60.07,141,127,141000000,127000000,0.19866134751773049,0.22056102362204724,FALSE
Pseudomonas,R3,13949620,70.07,141,124,141000000,124000000,0.09893347517730497,0.11249693548387096,FALSE
Pseudomonas,R4,38081592,66.07,141,181,141000000,181000000,0.27008221276595745,0.2103955359116022,FALSE
Pseudomonas,R5,25788818,70.07,141,145,141000000,145000000,0.1828994184397163,0.1778539172413793,FALSE
Serratia,R1,26881474,55.07,139,239,139000000,239000000,0.19339189928057554,0.11247478661087866,FALSE
Serratia,R2,11205676,52.07,139,103,139000000,103000000,0.08061637410071942,0.10879297087378641,FALSE
Serratia,R3,23315655,52.07,139,128,139000000,128000000,0.1677385251798561,0.1821535546875,FALSE
Serratia,R4,8960491,57.07,139,124,139000000,124000000,0.06446396402877698,0.0722620241935484,FALSE
Serratia,R5,11686360,54.07,139,100,139000000,100000000,0.08407453237410072,0.1168636,FALSE
Yersinia,R1,2764643,54.07,108,83,108000000,83000000,0.025598546296296296,0.03330895180722892,FALSE
Yersinia,R2,7874692,55.07,108,151,108000000,151000000,0.07291381481481482,0.05215027814569537,FALSE
Yersinia,R3,5886361,55.07,108,109,108000000,109000000,0.05450334259259259,0.054003311926605506,FALSE
Yersinia,R4,2739659,59.07,108,97,108000000,97000000,0.025367212962962963,0.028243907216494845,FALSE
Yersinia,R5,7203024,53.07,108,101,108000000,101000000,0.06669466666666667,0.0713170693069307,FALSE
