Taxon,Replicate,r_per_minute,r_per_hour,K,O2_0,O2_ref,AICc,lnO2_change_per_min,pseudo_R2,fit_ok
Flavobacterium_B,R3,0.014136514270375855,0.8481908562225513,0.0017606496836159605,1.0014082053230515,6.316666666666666,-1176.410477060299,-0.006066391651463994,0.9999447312116069,TRUE
Flavobacterium_B,R4,0.015004865309627819,0.9002919185776691,0.001947879817567063,1.003114666286338,6.496666666666667,-1106.8889676834503,-0.006499541823268544,0.9999367867726151,TRUE
Flavobacterium_B,R5,0.007935573646218884,0.476134418773133,0.001622146569983014,1.0017359379549,6.243333333333333,-1281.775057841846,-0.0030268947029219655,0.9999449849200229,TRUE
Herbaspirillum,R1,0.018397056047680424,1.1038233628608254,0.001042452261219862,1.0010182454639454,5.883333333333333,-1360.2039130093706,-0.005548925236512307,0.9999592524991328,TRUE
Herbaspirillum,R2,0.02253669354203606,1.3522016125221634,8.546668895034287e-4,1.0007531648394137,6.976666666666667,-1262.2043570078788,-0.005754601469319162,0.9999504497754105,TRUE
Herbaspirillum,R3,0.022371766579689988,1.3423059947813993,9.406947552876734e-4,1.0008949185516374,6.38,-1238.3823173196733,-0.005564834468210733,0.999969964670191,TRUE
Herbaspirillum,R4,0.021626600060894115,1.297596003653647,0.0010356515104669593,1.0007053736273384,5.63,-1148.9120172763292,-0.00603189317623605,0.999932762860036,TRUE
Herbaspirillum,R5,0.019824322535488412,1.1894593521293046,9.835814821775811e-4,1.0008153330399343,6.046666666666667,-1307.8071366912568,-0.005660468441515949,0.9999527407333364,TRUE
Pseudomonas,R1,0.02482302019746571,1.4893812118479426,8.418291199073428e-4,1.0026469636446436,6.333333333333333,-1137.6662794449803,-0.006173353779829917,0.9999301003774568,TRUE
Pseudomonas,R2,0.02118057039240768,1.2708342235444607,0.0012258709201525301,1.0024426628756329,5.863333333333333,-1096.0307396028281,-0.006474336696888903,0.9999277685754143,TRUE
Pseudomonas,R3,0.025250733861877338,1.5150440317126403,0.001087979349189316,1.0002617953877735,6.09,-981.3977459288309,-0.0068000709828276405,0.9999076692986473,TRUE
