Taxon,Replicate,r_per_minute,K,O2_0,O2_ref,T_end_min,fit_start_min,C_tot_mg_per_L,pseudo_R2,AIC,fit_ok
Bacillus,R4,0.027337464577366785,0.0012044608880625932,1.0016400930500897,6.26,101.01000000000002,69.07,4.08785211060906,0.9999467423571347,-1055.3318088749527,TRUE
Bacillus,R5,0.02273270654790027,0.0017415699615936741,1.0014387192657337,5.783333333333333,93.01000000000002,51.07,3.2274477886492408,0.9999147928839253,-953.2809425109494,TRUE
Burkholderia,R1,0.022565525620342607,0.00150950058400556,1.0029313041523,6.293333333333333,104.00000000000001,53.05,3.979261836630409,0.9999251345230658,-1054.8805983427578,TRUE
Burkholderia,R2,0.01985526299343977,0.0018822269649864127,1.0018054968983412,5.613333333333333,104.00000000000001,66.05,3.663647899985356,0.9999264904970584,-1048.4009167293143,TRUE
Burkholderia,R3,0.020906224897298566,0.0014139412958725352,1.001629917238403,6.6466666666666665,111.00000000000001,62.05,4.127454208811825,0.9999415810840924,-1157.566858314479,TRUE
Burkholderia,R4,0.020752221501308718,0.0013852215543547273,1.0009237899955028,5.76,113.00000000000001,60.05,3.6269370255382323,0.9999209675795584,-1140.9740215731424,TRUE
Burkholderia,R5,0.02204622666471412,0.0013051447404835628,1.00076301873485,6.056666666666667,106.00000000000001,66.05,3.3521860279250384,0.9999291858679031,-1109.5597979563279,TRUE
Buttiauxella,R1,0.021649771284339352,0.00125188704384754,1.0029244223708722,5.86,109.02000000000001,48.03,3.250834807419928,0.9999007560201925,-1103.4946724473566,TRUE
Buttiauxella,R2,0.024447099781649818,0.0015485627711867797,1.0017197717617223,5.72,100.00000000000001,58.05,3.814262851799647,0.9999374987102311,-1022.3933887164069,TRUE
Buttiauxella,R3,0.021626032294096133,0.001500309256863582,1.0004089437300248,5.87,102.00000000000001,52.05,3.2896263381304283,0.9999383589996883,-1078.5943802590045,TRUE
Buttiauxella,R4,0.018628879555084597,0.0021483778484651735,1.0021453011094312,5.8133333333333335,108.00000000000001,67.05,4.34277017162406,0.9999389703417135,-1079.2617825654352,TRUE
Buttiauxella,R5,0.02164406271296873,0.0014995347819748075,1.0015444502367095,5.69,109.00000000000001,56.05,3.777542875451561,0.9999385930563365,-1116.77954154485,TRUE
Chromobacterium,R1,0.02522617126544078,0.0014620768532508386,1.0009404118674508,5.906666666666667,87.01000000000002,54.07,2.7316789335909215,0.9999202183171828,-931.020086087014,TRUE
Chromobacterium,R2,0.02625342021813681,0.0011788058996135872,1.0001577614974362,6.243333333333333,97.01000000000002,58.07,3.2985990938633987,0.9999266164456014,-1022.231532448207,TRUE
Chromobacterium,R3,0.026373880490035476,0.0011597839431415323,1.0017716479779677,5.693333333333333,99.01000000000002,58.07,3.1586863675191403,0.9999249364828114,-1031.6948210580244,TRUE
Chromobacterium,R4,0.023193495636809267,0.0016979271532427086,1.000423897548463,5.916666666666667,99.01000000000002,64.07,3.8715156802521387,0.9999497586299898,-1036.8576073117565,TRUE
Chromobacterium,R5,0.024926014887106326,0.0012159932374450658,1.0000638366976153,5.633333333333333,117.01000000000002,55.07,4.80331513587048,0.999962394606215,-1201.9817431192632,TRUE
Chryseobacterium,R1,0.015460105211641952,8.384499700131765e-4,1.0011949766983244,6.11,129.03,59.07,2.104449405779852,0.9999231439543786,-1460.4513922248334,TRUE
Chryseobacterium,R2,0.016811791148072144,7.875711363987316e-4,1.0013408251075273,5.953333333333333,122.03,67.07,1.8908583203317306,0.999919388466739,-1395.70155824014,TRUE
Chryseobacterium,R3,0.016685827159151564,9.312067517155902e-4,1.0010656162587568,5.87,118.03,79.07,2.020136233058714,0.9999233124897269,-1336.2493428187802,TRUE
Chryseobacterium,R4,0.015770816331408942,6.788354020645641e-4,1.0010184940281743,5.756666666666667,139.03,64.07,1.972056508382524,0.9999506643337752,-1638.7414215674103,TRUE
Chryseobacterium,R5,0.015415546071658503,0.0010784866507290304,1.0008024616333793,5.933333333333334,116.03,80.07,2.067815765473483,0.9999378481289893,-1334.1495853778183,TRUE
Flavobacterium_A,R1,0.018021960804691345,0.0011986181924599014,1.0008563751118513,6.0633333333333335,124.03000000000002,40.05,3.366836390204216,0.9999116836550992,-1268.8073496264876,TRUE
