Taxon,Replicate,r_per_minute,r_per_hour,K,O2_0,O2_ref,AICc,lnO2_change_per_min,pseudo_R2,fit_ok
Serratia,R1,0.02072802570440705,1.243681542264423,0.002009834396569461,1.0013396454784036,5.77,-1103.178051176824,-0.018379913097664975,0.9999708088674804,TRUE
Serratia,R2,0.027481926753928118,1.648915605235687,9.514181595291937e-4,1.0017119956722498,5.706666666666667,-1212.4958693908504,-0.016041368641661745,0.999977181048873,TRUE
Serratia,R3,0.02551095259956442,1.530657155973865,0.0013434680504899666,1.0024435362727768,5.793333333333333,-1143.2943771123357,-0.017701313473600832,0.9999722922109128,TRUE
Serratia,R4,0.02753200092140801,1.6519200552844806,0.0010461825951719036,1.000992440714915,5.876666666666667,-1176.9643836410578,-0.01499509530815332,0.9999730374786392,TRUE
Serratia,R5,0.028403103009175503,1.7041861805505303,8.827372359302647e-4,0.9998039285426809,5.62,-1206.1390768206227,-0.016534641076737636,0.9999770054776778,TRUE
Yersinia,R1,0.046154533298341974,2.7692719979005185,4.127880164369492e-4,1.0021888016337495,6.1866666666666665,-999.0739707235163,-0.019253779372139738,0.9999737177354345,TRUE
Yersinia,R2,0.03822063894065326,2.2932383364391953,5.100515391501555e-4,1.001661766750921,6.096666666666667,-1122.547899025057,-0.01715589555909873,0.9999777590185384,TRUE
Yersinia,R3,0.038751038144877605,2.3250622886926564,4.4838638349468826e-4,1.0014738275507507,6.126666666666667,-1160.0942792741796,-0.018637903719756096,0.9999698329398985,TRUE
Yersinia,R4,0.03672897139145922,2.203738283487553,6.79814488924918e-4,1.000751218228737,6.25,-1082.4296124493846,-0.01679072942512506,0.9999729063018955,TRUE
Yersinia,R5,0.03604487921489227,2.1626927528935362,5.188351159656617e-4,1.0009564320711661,5.91,-1150.54529193734,-0.01721757222708096,0.999972953958947,TRUE
