Taxon,log_R,mu_tax_collapsed
Aeromonas_B,1.945613180192995,1.8846682217483537
Aeromonas_B,1.9500249448988773,1.8854296032806845
Aeromonas_B,1.9544367096047597,1.8861909848130152
Aeromonas_B,1.958848474310642,1.886952366345346
Aeromonas_B,1.9632602390165246,1.8877137478776769
Aeromonas_B,1.967672003722407,1.8884751294100077
Aeromonas_B,1.9720837684282893,1.8892365109423384
Aeromonas_B,1.9764955331341716,1.8899978924746692
Aeromonas_B,1.980907297840054,1.890759274007
Aeromonas_B,1.9853190625459363,1.891520655539331
Aeromonas_B,1.9897308272518186,1.8922820370716615
Aeromonas_B,1.994142591957701,1.8930434186039924
Aeromonas_B,1.9985543566635833,1.8938048001363232
Aeromonas_B,2.002966121369466,1.894566181668654
Aeromonas_B,2.007377886075348,1.8953275632009847
Aeromonas_B,2.0117896507812305,1.8960889447333156
Aeromonas_B,2.016201415487113,1.8968503262656464
Aeromonas_B,2.020613180192995,1.8976117077979773
Aeromonas_B,2.0250249448988775,1.898373089330308
Aeromonas_B,2.02943670960476,1.8991344708626388
Aeromonas_B,2.033848474310642,1.8998958523949696
Aeromonas_B,2.0382602390165245,1.9006572339273005
Aeromonas_B,2.042672003722407,1.901418615459631
Aeromonas_B,2.047083768428289,1.902179996991962
Aeromonas_B,2.0514955331341715,1.9029413785242928
Aeromonas_B,2.055907297840054,1.9037027600566234
Aeromonas_B,2.060319062545936,1.9044641415889543
