Taxon,Replicate,OD_Initial,OD_Final,FC_Initial_perrep,FC_Final_perrep,Duration_min,FC_Initial_taxonmean,N_inoc_cells_per_L,delta_min,cell_volume_um3,cell_carbon_fg,stated_OD_mid,stated_OD_lo,stated_OD_hi,measured_OD_mid,measured_OD_lo,measured_OD_hi,size_factor,measured_OD_sizeadj,FC_cells_per_L,FC_cells_per_L_taxonmean,FC_cells_per_L_nodil,FC_end_cells_per_L,N_inoc,ratio_FC_over_Ninoc,ratio_measuredOD_over_Ninoc,ratio_statedOD_over_Ninoc,ratio_FC_over_measuredOD,ratio_FC_over_statedOD,ratio_measuredOD_over_statedOD
Flavobacterium_A,R5,0.0024,0.02852,130,1688,124,183,23169346,71.07,0.5266,52.6642,400000000,250000000,1000000000,1919999999.9999998,1200000000,4800000000,0.6835817664713834,1312476991.6250558,1333163265.3061223,1876683673.4693875,130000000,17310612244.897957,23169346,57.539961003047836,82.86811375685787,17.26419036601206,0.6943558673469388,3.332908163265306,4.8
Flavobacterium_B,R1,7e-4,0.00296,96,416,116,99,17420468,46.03,0.5266,52.6642,400000000,250000000,1000000000,560000000,350000000,1400000000,0.6835817664713834,382805789.2239747,984489795.9183673,1015255102.0408162,96000000,4266122448.9795914,17420468,56.513395387446955,32.146093893688736,22.961495638349096,1.75801749271137,2.461224489795918,1.4
Flavobacterium_B,R2,6e-4,0.00336,91,334,123,99,18141567,55.05,0.5266,52.6642,400000000,250000000,1000000000,479999999.99999994,300000000,1200000000,0.6835817664713834,328119247.90626395,933214285.7142855,1015255102.0408162,91000000,3425204081.6326528,18141567,51.44066583191438,26.458574388860672,22.04881199071723,1.9441964285714284,2.333035714285714,1.2
Flavobacterium_B,R3,8e-4,0.00376,109,401,126,99,24605191,59.05,0.5266,52.6642,400000000,250000000,1000000000,640000000,400000000,1600000000,0.6835817664713834,437492330.54168534,1117806122.4489796,1015255102.0408162,109000000,4112295918.367347,24605191,45.42968686766055,26.01077146688274,16.25673216680171,1.7465720663265307,2.7945153061224492,1.6
Flavobacterium_B,R4,4e-4,0.00146,117,320,126,99,16661901,59.05,0.5266,52.6642,400000000,250000000,1000000000,320000000,200000000,800000000,0.6835817664713834,218746165.27084267,1199846938.77551,1015255102.0408162,117000000,3281632653.061224,16661901,72.01140726832492,19.205491618273328,24.00686452284166,3.749521683673469,2.9996173469387752,0.8
Flavobacterium_B,R5,0.0012,0.00396,84,160,126,99,33140469,74.05,0.5266,52.6642,400000000,250000000,1000000000,959999999.9999999,600000000,2400000000,0.6835817664713834,656238495.8125279,861428571.4285713,1015255102.0408162,84000000,1640816326.530612,33140469,25.993252281027505,28.967604532090355,12.069835221704315,0.8973214285714286,2.1535714285714285,2.4
Herbaspirillum,R1,0.00194,0.01996,393,3661,126,332,97382398,56.05,0.7245,72.449700000000007,400000000,250000000,1000000000,1552000000,970000000,3880000000,0.49685874150977283,771124766.8231674,4030255102.040816,3404693877.5510197,393000000,37543928571.428566,97382398,41.38586833773405,15.937171725838995,4.107518486040979,2.5968138544077424,10.07563775510204,3.8800000000000003
Herbaspirillum,R2,7.4e-4,0.01146,284,4497,126,332,52935038,68.05,0.7245,72.449700000000007,400000000,250000000,1000000000,592000000,370000000,1480000000,0.49685874150977283,294140374.9737855,2912448979.591836,3404693877.5510197,284000000,46117193877.55101,52935038,55.01930459730351,11.183518938817047,7.556431715416923,4.919677330391615,7.28112244897959,1.48
Herbaspirillum,R3,9.4e-4,0.01316,314,3962,126,332,48198999,80.05,0.7245,72.449700000000007,400000000,250000000,1000000000,752000000,470000000,1880000000,0.49685874150977283,373637773.6153492,3220102040.816326,3404693877.5510197,314000000,40630714285.71428,48198999,66.80848373669184,15.601983767339235,8.298927535818741,4.282050586191923,8.050255102040815,1.88
Herbaspirillum,R4,0.00102,0.01536,311,5201,126,332,71575803,63.05,0.7245,72.449700000000007,400000000,250000000,1000000000,816000000.0000001,510000000.00000006,2040000000.0000002,0.49685874150977283,405436733.0719747,3189336734.693877,3404693877.5510197,311000000,53336785714.28571,71575803,44.55886767618768,11.400500808911639,5.588480788682175,3.908500900360143,7.973341836734693,2.04
Herbaspirillum,R5,8.8e-4,0.01266,356,4455,126,332,89872260,63.05,0.7245,72.449700000000007,400000000,250000000,1000000000,704000000,440000000,1760000000,0.49685874150977283,349788554.0228801,3650816326.530612,3404693877.5510197,356000000,45686479591.83673,89872260,40.6222824098405,7.833340343282789,4.450761558683403,5.185818645640074,9.12704081632653,1.76
Pseudomonas,R1,0.00342,0.01992,129,1812,115,141,13114113,54.07,0.6747,67.4722,400000000,250000000,1000000000,2736000000,1710000000,6840000000,0.5335321746314369,1459744029.7916112,1322908163.265306,1445969387.755102,129000000,18582244897.959183,13114113,100.87667867932097,208.6301986264721,30.501491027262006,0.4835190655209452,3.307270408163265,6.84
Pseudomonas,R2,0.00444,0.01422,127,1881,120,141,28011250,60.07,0.6747,67.4722,400000000,250000000,1000000000,3552000000.0000005,2220000000,8880000000,0.5335321746314369,1895106284.290864,1302397959.1836734,1445969387.755102,127000000,19289846938.775505,28011250,46.49553158761831,126.80619393993487,14.279976795037708,0.3666660921125206,3.2559948979591833,8.88
Pseudomonas,R3,0.00324,0.01692,124,2069,119,141,13949620,70.07,0.6747,67.4722,400000000,250000000,1000000000,2592000000,1620000000,6480000000,0.5335321746314369,1382915396.6446843,1271632653.0612245,1445969387.755102,124000000,21217806122.448975,13949620,91.15894576778611,185.81151314516094,28.674616226105083,0.49059901738473166,3.179081632653061,6.4799999999999995
